id;ma_kich_ban;ma_thiet_bi;loai_thiet_bi;day_chuyen;ma_san_pham;version_san_pham;ngay_tao;time_update;trang_thai
1;Granite Fresh Shoes;Bhutanese Villages;Lilangeni;Internal platforms;matrix Republic Bedfordshire;CSS Quality;2023-09-06T23:32:54;2023-09-07T05:08:18;reciprocal Tasty
2;Optimization;synthesize Park;paradigms open-source New;protocol granular;Beauty Forward;incentivize Account Account;2023-09-06T23:06:47;2023-09-06T22:02:09;Michigan
3;Checking;bus infomediaries vortals;Consultant Web Plastic;Armenia;engage Wyoming AGP;bus Nuevo;2023-09-07T10:07:27;2023-09-06T14:15:32;Cambridgeshire Fresh
4;infomediaries;Cotton;Health Soft;Metal Representative;Borders;infrastructure Technician;2023-09-07T08:33:23;2023-09-07T06:30:40;SAS Market
5;Lakes;connect;Director;Operative connect;input secured Wooden;backing user-centric backing;2023-09-07T05:44:39;2023-09-06T18:00:09;Account
6;FTP payment orange;Awesome;Granite;withdrawal visionary;Small;function Trafficway;2023-09-06T10:59:24;2023-09-07T10:21:42;back Florida
7;Account expedite Cheese;card bandwidth-monitored up;Center Cambridgeshire;Optional front-end bluetooth;Bulgarian Ergonomic e-commerce;Jersey Minnesota;2023-09-06T15:42:00;2023-09-06T15:30:55;Arkansas Rustic
8;Designer;azure Sleek innovative;cross-platform Table Outdoors;up;PNG Ramp Polarised;Coordinator;2023-09-07T03:08:42;2023-09-07T00:11:40;needs-based
9;indexing Assurance;primary Checking;Ghana payment;Dynamic;Berkshire;dot-com Games turquoise;2023-09-06T23:21:17;2023-09-06T23:30:05;payment Pizza white
10;Frozen;Quality extensible didactic;Granite hacking Metal;Fish;Checking quantify;payment payment overriding;2023-09-07T08:10:26;2023-09-07T01:49:54;Integration SMTP Borders
