id;ma_thong_so;ten_thong_so;mo_ta;ngay_tao;ngay_update;update_by;status
1;Shirt FTP Account;disintermediate;Fish Fresh;2023-09-06T14:08:22;2023-09-06T18:01:39;Pants;intermediate
2;Shirt Director tan;Kip Berkshire turquoise;Refined;2023-09-06T23:17:33;2023-09-07T00:51:42;Product Buckinghamshire Functionality;Lats yellow
3;algorithm matrix;deposit connect withdrawal;Jewelery;2023-09-07T05:09:32;2023-09-07T08:17:35;Assistant bluetooth up;SQL circuit
4;incremental quantifying end-to-end;Mobility Tuvalu;Practical Dynamic;2023-09-07T09:36:00;2023-09-06T15:17:24;deposit;engage deposit Ethiopian
5;auxiliary THX;Buckinghamshire;Massachusetts Buckinghamshire;2023-09-07T04:31:20;2023-09-06T19:09:08;collaboration robust;program functionalities
6;blue;Tactics;Architect multi-byte Quality;2023-09-06T18:46:52;2023-09-06T11:52:25;next-generation Rubber;Sausages
7;transmitting;partnerships back-end Sharable;methodologies;2023-09-07T08:43:43;2023-09-07T02:38:24;Via up Qatari;navigating violet Rubber
8;multi-byte Avon;Fantastic;Handmade feed SDD;2023-09-06T21:15:40;2023-09-06T12:28:11;bus recontextualize;National
9;system even-keeled Assurance;secondary;Concrete panel markets;2023-09-06T11:02:12;2023-09-06T15:04:48;Direct deposit invoice;Bedfordshire Lakes Granite
10;bandwidth;Legacy deposit Account;Aruban protocol generation;2023-09-06T16:25:15;2023-09-06T14:03:52;Bedfordshire state frame;Fish Dynamic Wooden
